Institute,Model,Var,Freq,R,RMSE,RI,AE,AAE,MEF,STDobs,STDmod,cRMSE,Rb
BCCR,BCM-C,TEMP,mon,0.9857,1.9607,1.6047,0.7770,1.3749,0.9613,9.9671,9.1794,1.8002,0.0426
IFM,UVIC2-8,TEMP,mon,0.9447,3.2780,1.6286,0.1104,2.5049,0.8918,9.9669,9.6345,3.2762,0.0061
IPSL,IPSL-CM4,TEMP,mon,0.9823,2.1139,1.5310,-0.7308,1.5260,0.9550,9.9655,10.4573,1.9836,-0.0401
MPI-M,COSMOS,TEMP,mon,0.9891,1.5603,1.4148,0.3321,1.1487,0.9755,9.9681,10.2613,1.5245,0.0182
UBERN,CCSM3,TEMP,mon,0.9841,2.2052,1.5475,-1.1849,1.5881,0.9510,9.9669,10.3755,1.8598,-0.0650
UBERN,CSM1-4,TEMP,mon,0.9846,1.9030,1.4535,0.3816,1.4358,0.9636,9.9678,10.4724,1.8643,0.0209
BCCR,BCM-C,SALT,mon,0.8297,0.8186,1.0294,-0.1063,0.4873,0.6674,1.4195,1.0018,0.8117,-0.0031
IFM,UVIC2-8,SALT,mon,0.8288,0.8810,1.0320,0.1305,0.4813,0.6103,1.4113,0.8015,0.8713,0.0038
IPSL,IPSL-CM4,SALT,mon,0.7768,0.9579,1.0328,0.1804,0.6173,0.5426,1.4162,1.3994,0.9407,0.0052
MPI-M,COSMOS,SALT,mon,0.8746,0.7510,1.0257,-0.1944,0.4336,0.7212,1.4223,1.4688,0.7254,-0.0056
UBERN,CCSM3,SALT,mon,0.6903,1.4422,1.0480,-0.7266,0.9447,-0.0311,1.4203,1.6846,1.2458,-0.0210
UBERN,CSM1-4,SALT,mon,0.7295,1.2077,1.0401,-0.6438,0.8398,0.2770,1.4204,1.3528,1.0218,-0.0186
BCCR,BCM-C,MLDt,mon,0.6935,40.2304,3.0085,-23.5429,30.4348,0.0912,42.1996,41.0911,32.6224,-0.3802
BCCR,BCM-C,MLDd,mon,0.7037,39.3226,2.0202,-10.1132,23.8095,0.3792,49.9064,48.7885,37.9999,-0.1765
BCCR,BCM-C,MLDdt,mon,0.7285,36.0315,1.9185,-10.8304,23.4386,0.4238,47.4668,45.7051,34.3653,-0.1796
BCCR,BCM-C,BLT,mon,0.1178,99.1761,14.4635,-19.8734,30.3396,-1.9653,57.5933,85.3318,97.1644,-1.4609
BCCR,BCM-C,BLTp,mon,0.1353,444.3021,12.1963,82.5216,192.1513,-8.3751,145.1078,431.8466,436.5711,0.9550
BCCR,BCM-C,BLTm,mon,0.4834,17.6436,6.9612,-9.8138,12.4210,-0.8588,12.9411,15.5647,14.6623,1.2921
BCCR,BCM-C,TTD,mon,0.3443,106.4944,3.2409,-29.9995,44.1907,-0.6935,81.8333,95.5362,102.1815,-0.4081
IFM,UVIC2-8,MLDt,mon,-0.0833,67.0432,3.2364,-34.8769,46.2007,-1.5235,42.2037,35.3361,57.2572,-0.5628
IFM,UVIC2-8,MLDd,mon,-0.0278,78.1138,2.9184,-17.2475,46.7869,-1.4485,49.9205,56.1797,76.1859,-0.3008
IFM,UVIC2-8,MLDdt,mon,-0.0936,77.1107,2.9285,-19.3994,48.2422,-1.6379,47.4773,53.3109,74.6306,-0.3214
IFM,UVIC2-8,BLT,mon,0.0372,246.6687,23.7390,2.7610,55.2440,-17.3646,57.5603,241.9962,246.6531,0.2082
IFM,UVIC2-8,BLTp,mon,-0.0274,1074.7000,36.3527,474.4411,505.9145,-191.9886,77.3609,959.0834,964.3056,14.9464
IFM,UVIC2-8,BLTm,mon,-0.0900,30.6644,10.0785,-7.6778,16.6649,-4.7910,12.7426,25.6910,29.6876,1.0244
IFM,UVIC2-8,TTD,mon,0.0217,261.7601,3.8708,-15.4427,85.5033,-9.1960,81.9763,249.8948,261.3041,-0.2089
IPSL,IPSL-CM4,MLDt,mon,0.5299,48.0453,2.6610,-30.8371,34.0327,-0.2962,42.2001,31.1142,36.8432,-0.4980
IPSL,IPSL-CM4,MLDd,mon,0.5314,56.6265,1.8210,-10.6365,26.9445,-0.2874,49.9071,62.6576,55.6186,-0.1857
IPSL,IPSL-CM4,MLDdt,mon,0.5496,52.0211,1.8523,-12.0273,26.9515,-0.2010,47.4678,57.5362,50.6116,-0.1994
IPSL,IPSL-CM4,BLT,mon,0.3780,241.9818,14.0633,26.4780,63.2406,-27.5393,45.2962,253.9658,240.5288,2.5078
IPSL,IPSL-CM4,BLTp,mon,0.3816,395.6854,6.2717,107.7380,122.4854,-26.8280,75.0082,402.9930,380.7354,3.7840
IPSL,IPSL-CM4,BLTm,mon,0.5514,72.8025,10.3448,-31.8856,32.5855,-38.3454,11.6064,71.1285,65.4486,4.7149
IPSL,IPSL-CM4,TTD,mon,0.5374,233.1073,2.6408,17.9774,67.0673,-10.2522,69.4925,262.2446,232.4131,0.2596
MPI-M,COSMOS,MLDt,mon,0.5830,51.1808,3.4805,-37.8922,38.5705,-0.4710,42.1990,21.7420,34.4043,-0.6121
